id_ligne	kpi_name	edw_group_table	kpi_label	comment	kpi_formula	pourcentage	on_off	value_type	new_field	visible	numerator_denominator	kpi_type
kpis.0071.01.01038	CCSR_NRT_PS_DATA	edw_eriran_cellb_axe1	CCSR Non Real Time PS DATA	Call Completion Success Rate for Non Real Time PS DATA  	CASE WHEN (pmTotNoRrcConnectReqPsSucc/pmTotNoRrcConnectReqPs)*(pmNoRabEstablishSuccessPacketInteractive/pmNoRabEstablishAttemptPacketInteractive)*((pmNoNormalRabReleasePacket-pmNoNormalRbReleaseHs-pmNoNormalRabReleasePacketUra)/((pmNoNormalRabReleasePacket+pmNoSystemRabReleasePacket)-(pmNoNormalRbReleaseHs+pmNoSystemRbReleaseHs)-(pmNoNormalRabReleasePacketUra+pmNoSystemRabReleasePacketUra)))*100>100 THEN 100 ELSE (pmTotNoRrcConnectReqPsSucc/pmTotNoRrcConnectReqPs)*(pmNoRabEstablishSuccessPacketInteractive/pmNoRabEstablishAttemptPacketInteractive)*((pmNoNormalRabReleasePacket-pmNoNormalRbReleaseHs-pmNoNormalRabReleasePacketUra)/((pmNoNormalRabReleasePacket+pmNoSystemRabReleasePacket)-(pmNoNormalRbReleaseHs+pmNoSystemRbReleaseHs)-(pmNoNormalRabReleasePacketUra+pmNoSystemRabReleasePacketUra)))*100 END	1	1	customisateur	1	1	total	float4
kpis.0071.01.01039	CCSR_RT_PS_DATA	edw_eriran_cellb_axe1	CCSR Real Time PS DATA	Call Completion Success Rate for Real Time PS DATA 	CASE WHEN (pmTotNoRrcConnectReqPsSucc/pmTotNoRrcConnectReqPs)*((pmNoRabEstablishSuccessPacketStream+pmNoRabEstablishSuccessPacketStream128)/(pmNoRabEstablishAttemptPacketStream+pmNoRabEstablishAttemptPacketStream128))*((pmNoNormalRabReleasePacketStream+pmNoNormalRabReleasePacketStream128)/(pmNoSystemRabReleasePacketStream+pmNoSystemRabReleasePacketStream128+pmNoNormalRabReleasePacketStream+pmNoNormalRabReleasePacketStream128))*100>100 THEN 100 ELSE (pmTotNoRrcConnectReqPsSucc/pmTotNoRrcConnectReqPs)*((pmNoRabEstablishSuccessPacketStream+pmNoRabEstablishSuccessPacketStream128)/(pmNoRabEstablishAttemptPacketStream+pmNoRabEstablishAttemptPacketStream128))*((pmNoNormalRabReleasePacketStream+pmNoNormalRabReleasePacketStream128)/(pmNoSystemRabReleasePacketStream+pmNoSystemRabReleasePacketStream128+pmNoNormalRabReleasePacketStream+pmNoNormalRabReleasePacketStream128))*100 END	1	1	customisateur	1	1	total	float4
kpis.0071.01.01040	CCSR_SPEECH	edw_eriran_cellb_axe1	CCSR SPEECH	Call Completion Success Rate for Speech 	CASE WHEN (pmTotNoRrcConnectReqCsSucc/pmTotNoRrcConnectReqCs)*(pmNoRabEstablishSuccessSpeech/(pmNoRabEstablishAttemptSpeech-pmNoDirRetryAtt))*(pmNoNormalRabReleaseSpeech/(pmNoNormalRabReleaseSpeech+pmNoSystemRabReleaseSpeech))*100>100 THEN 100 ELSE (pmTotNoRrcConnectReqCsSucc/pmTotNoRrcConnectReqCs)*(pmNoRabEstablishSuccessSpeech/(pmNoRabEstablishAttemptSpeech-pmNoDirRetryAtt))*(pmNoNormalRabReleaseSpeech/(pmNoNormalRabReleaseSpeech+pmNoSystemRabReleaseSpeech))*100 END	1	1	customisateur	1	1	total	float4
kpis.0071.01.01041	CCSR_RT_CS_DATA	edw_eriran_cellb_axe1	CCSR  Real Time CS DATA	Call Completion Success Rate for Real Time CS DATA 	CASE WHEN (pmTotNoRrcConnectReqCsSucc/pmTotNoRrcConnectReqCs)*(pmNoRabEstablishSuccessCS64/pmNoRabEstablishAttemptCS64)*(pmNoNormalRabReleaseCS64/(pmNoNormalRabReleaseCS64+pmNoSystemRabReleaseCS64))*100>100 THEN 100 ELSE (pmTotNoRrcConnectReqCsSucc/pmTotNoRrcConnectReqCs)*(pmNoRabEstablishSuccessCS64/pmNoRabEstablishAttemptCS64)*(pmNoNormalRabReleaseCS64/(pmNoNormalRabReleaseCS64+pmNoSystemRabReleaseCS64))*100 END	1	1	customisateur	1	1	total	float4
kpis.0071.01.01042	CELL_AVAILABILITY	edw_eriran_cellb_axe1	CELL AVAILABILITY	Percentage of the capture period during which the cell was available for service 	CASE WHEN (capture_duration_real-pmCellDowntimeMan-pmCellDowntimeAuto)/capture_duration_real*100>100 THEN 100 ELSE CASE WHEN (capture_duration_real-pmCellDowntimeMan-pmCellDowntimeAuto)/capture_duration_real*100<0 THEN 0 ELSE (capture_duration_real-pmCellDowntimeMan-pmCellDowntimeAuto)/capture_duration_real*100 END END	1	1	customisateur	1	1	total	float4
kpis.0071.01.01189	CELL_AVAILABILITY_VALUE	edw_eriran_cellb_axe1	CELL AVAILABILITY VALUE	Time period during which the cell was available for service 	capture_duration_real-pmCellDowntimeMan-pmCellDowntimeAuto	0	1	customisateur	1	1	total	float4
kpis.0071.01.01190	CELL_AVAILABILITY_PERIOD	edw_eriran_cellb_axe1	CELL AVAILABILITY PERIOD	Cell availability measurement period  	capture_duration_real	0	1	customisateur	1	1	total	float4
kpis.0071.01.01043	CELL_DOWNTIME_MANUAL	edw_eriran_cellb_axe1	CELL DOWNTIME MANUAL	Percentage of the capture period during which the cell was unavailable for service due to maintenance 	CASE WHEN pmCellDowntimeMan/capture_duration_real*100>100 THEN 100 ELSE pmCellDowntimeMan/capture_duration_real*100 END	1	1	customisateur	1	1	total	float4
kpis.0071.01.01253	CELL_DOWNTIME_MANUAL_DURATION	edw_eriran_cellb_axe1	CELL DOWNTIME MANUAL DURATION	Capture period during which the cell was unavailable for service due to maintenance 	pmCellDowntimeMan	0	1	customisateur	1	1	total	float4
kpis.0071.01.01044	CELL_DOWNTIME_SYSTEM	edw_eriran_cellb_axe1	CELL DOWNTIME SYSTEM	Percentage of the capture period during which the cell was unavailable for service due to system (fault) 	CASE WHEN pmCellDowntimeAuto/capture_duration_real*100>100 THEN 100 ELSE pmCellDowntimeAuto/capture_duration_real*100 END	1	1	customisateur	1	1	total	float4
