id_data	data_legend	position_ordonnee	display_type	line_design	color	filled_color
seri.gtms.0071.04.00001.03	INTERFREQ HO SR CS NON SPEECH	left	line	square	#33FF00	#ffffff@1
seri.gtms.0071.04.00001.04	NB ATT NON BLIND INTERFREQ HO CS DATA	right	bar	none	#333333	#006600@0.5
seri.gtms.0071.04.00002.01	INTERFREQ HO SR Non Real Time PS Data 	left	line	circle	#0099FF	#ffffff@1
seri.gtms.0071.04.00002.02	NB ATT NON BLIND INTERFREQ HO Non Real Time PS Data 	right	bar	none	#333333	#FF0099@0.5
seri.gtms.0071.04.00002.03	INTERFREQ HO SR Real Time PS Data 	left	line	circle	#006600	#ffffff@1
seri.gtms.0071.04.00002.04	NB ATT NON BLIND INTERFREQ HO Real Time PS Data 	right	bar	none	#333333	#FF0055@0.5
seri.gtms.0071.04.00003.01	IRAT HO SR OUTGOING SPEECH	left	line	square	#FF0000	#ffffff@1
seri.gtms.0071.04.00003.02	NB ATT IRAT HO SPEECH	right	cumulatedbar	none	#333333	#0099FF@0.5
seri.gtms.0071.04.00003.03	NB ATT IRAT SB HO SPEECH	right	cumulatedbar	none	#333333	#006600@0.5
seri.gtms.0071.04.00004.01	IRAT CELL CHANGE SR OUTGOING	left	line	square	#FF0000	#ffffff@1
seri.gtms.0071.04.00004.02	NB ATT IRAT CELL CHANGE	right	cumulatedbar	none	#333333	#0099FF@0.5
