id_flat_file	flat_file_name	flat_file_naming_template	on_off	alarm_missing_file_temporization	period_type	exclusion	prefix_counter	reference	ordre	data_collection_frequency	data_chunks	granularity
67	Cell Based - DPU Measurement 67109516 - DPU	pmresult_67109516_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
68	Cell Based - GCU Measurement 67109493 - GCU	pmresult_67109493_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
69	Cell Based - Measurement related to LCS service per RNC 67109434 - LCS_RNC	pmresult_67109434_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
70	Cell Based - MBMS Measurement per cell 67109474 - MBMS	pmresult_67109474_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
71	Cell Based - Measurement related to BLER per cell 67109392 - BLER	pmresult_67109392_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
73	Cell Based - URA Update Measurement per cell 67109383 - URA	pmresult_67109383_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
74	Cell Based - RRC Reporting Measurement per cell 67109384 - RRC_RM	pmresult_67109384_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
75	Cell Based - Measurement between a cell and a intRAT cell 67109394 - CELL_GCELL	pmresult_67109394_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
76	Cell Based - Measurement related to QOS per cell 67109413 - QOS	pmresult_67109413_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
77	Cell Based - RRC connection release measurement per RNC 67109421 - RRC_CR_RNC	pmresult_67109421_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
78	Cell Based - Measurement of multi-RAB service per RNC 67109431 - MULT_RAB_SERV_RNC	pmresult_67109431_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
79	Cell Based - Measurement related to SIRTARGET per cell 67109505 - SIR	pmresult_67109505_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
80	Cell Based - Measurement related to LCS service per cell 67109510 - LCS	pmresult_67109510_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
81	Cell Based - EFACH Measurement per cell 67109545 - EFACH	pmresult_67109545_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
82	Cell Based - Measurement of RAB assignment release per PLMN 67109554 - RAB_ASS_REL_PLMN	pmresult_67109554_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
83	Cell Based - Measurement related to traffic for Iur Interface 67109410 - IUR_TRAFF	pmresult_67109410_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
84	Cell Based - Measurement related to SRNC in Iur interface 67109411 - IUR_SNRC	pmresult_67109411_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
85	Cell Based - Measurement related to DRNC in Iur interface 67109412 - IUR_DRNC	pmresult_67109412_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
86	Cell Based - Measurement of CS RAB release per RNC 67109425 - CS_RAB_REL_RNC	pmresult_67109425_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
87	Cell Based - RRC state measurement 67109450 - RRC_STATE_RNC	pmresult_67109450_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
88	Cell Based - Measurement Related to SCCP for Iur Interface 67109536 - IUR_SCCP	pmresult_67109536_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
89	Cell Based - Measurement related to SPI per cell 82863914 - SPI	pmresult_82863914_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
90	Cell Based - ERACH Measurement per cell 82863947 - ERACH	pmresult_82863947_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
91	Cell Based - Measurement related to U2L Handover per cell 82863927 - U2L_HO	pmresult_82863927_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
92	Cell Based - Measurement related to PDCP 67109437 - PDCP	pmresult_67109437_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
93	Cell Based - Measurement related to PS traffic 67109408 - PS_TRAF	pmresult_67109408_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
94	Cell Based - IP Path Link Measurement 67109467 - IP_PATH_LINK	pmresult_67109467_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
95	Cell Based - Measurement related to Iu interface MBMS 67109478 - IU_MBMS	pmresult_67109478_*[0-9]{12}.csv$	0	6	hour		N/A		1	1	24	hour
