id_flat_file	flat_file_name	flat_file_naming_template	on_off	alarm_missing_file_temporization	period_type	exclusion	prefix_counter	reference	ordre	data_collection_frequency	data_chunks	granularity	custom_field_1	custom_field_2	custom_field_3
53	BSSGPRS - 587202940 Cell Performance Measurement / PDCH Resource Performance Measurement - pdch_rpm	pmresult_587202940_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		pdrc		1	1	24	hour			
171	BSSGPRS - perfmeas1_bssgp	*perfmeas1_bssgp.csv	0	6	hour				1	1	24	hour			
199	BSS - 1275071217 Paging Measurement/A Interface Paging Measurement - PM_AIPM_BSC	pmresult_1275071217_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		PM_AIPM_BSC		1	1	24	hour			
55	BSSGPRS - 587202690 Cell Performance Measurement / Paging Request Measurement - prm	pmresult_587202690_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		prm		1	1	24	hour			
216	BSS - 1275073217 PS Measurement/PS Capability Measurement - PS_CM_BSC	pmresult_1275073217_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		PS_CM_BSC		1	1	24	hour			
217	BSS - 1275073218 PS Measurement/BSC PS User Capability Measurement - PS_UCM_BSC	pmresult_1275073218_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		PS_UCM_BSC		1	1	24	hour			
172	BSSGPRS - 1275072617 Packet Switch Channel Measurement / Cell Radio Channel Capabilty Measurement - PSCHM_CRCCM	pmresult_1275072617_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		PSCHM_CRCCM		1	1	24	hour			
163	BSSGPRS - 1275072618 Packet Switch Channel Measurement / PDCH Resource Capabilty Measurement - PSCHM_PRCM	pmresult_1275072618_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		PSCHM_PRCM		1	1	24	hour			
173	BSSGPRS - 1275072534 Packet Switch Call Measurement / ABIS Resource Capabilty Measurement - PSCM_ARCM	pmresult_1275072534_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		PSCM_ARCM		1	1	24	hour			
146	BSSGPRS - 1275072519 Packet Switch Call Measurement / Cell Paging Capabilty Measurement - PSCM_CPCM	pmresult_1275072519_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		PSCM_CPCM		1	1	24	hour			
155	BSSGPRS - 1275072528 Packet Switch Call Measurement / Downlink EGPRS RLC Data Transfer Capabilty Measurement - PSCM_DERDTCM	pmresult_1275072528_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		PSCM_DERDTCM		1	1	24	hour			
151	BSSGPRS - 1275072524 Packet Switch Call Measurement / Downlink EGPRS TBF Establish and Release Capabilty Measurement - PSCM_DETERCM	pmresult_1275072524_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		PSCM_DETERCM		1	1	24	hour			
153	BSSGPRS - 1275072526 Packet Switch Call Measurement / Downlink GPRS RLC Data Transfer Capabilty Measurement - PSCM_DGRDTCM	pmresult_1275072526_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		PSCM_DGRDTCM		1	1	24	hour			
149	BSSGPRS - 1275072522 Packet Switch Call Measurement / Downlink GPRS TBF Establish and Release Capabilty Measurement - PSCM_DGTERCM	pmresult_1275072522_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		PSCM_DGTERCM		1	1	24	hour			
159	BSSGPRS - 1275072532 Packet Switch Call Measurement / Downlink LLC Data Transfer Capabilty Measurement - PSCM_DLDTCM	pmresult_1275072532_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		PSCM_DLDTCM		1	1	24	hour			
174	BSSGPRS - 1275072520 Packet Switch Call Measurement / Intra-CELL Handover Measurement - PSCM_ICHM	pmresult_1275072520_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		PSCM_ICHM		1	1	24	hour			
177	BSSGPRS - 1275072530 Packet Switch Call Measurement / Number of 8PSK_MEAN_BEP Different Value Measurement - PSCM_N8MBDVM	pmresult_1275072530_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		PSCM_N8MBDVM		1	1	24	hour			
178	BSSGPRS - 1275072529 Packet Switch Call Measurement / Number of GMSK_MEAN_BEP Different Value Measurement - PSCM_NGMBDVM	pmresult_1275072529_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		PSCM_NGMBDVM		1	1	24	hour			
179	BSSGPRS - 1275072517 Packet Switch Call Measurement / Packet Access Capability Measurement - PSCM_PACM	pmresult_1275072517_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		PSCM_PACM		1	1	24	hour			
180	BSSGPRS - 1275072518 Packet Switch Call Measurement / Packet Assignment Capability Measurement - PSCM_PASCM	pmresult_1275072518_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		PSCM_PASCM		1	1	24	hour			
181	BSSGPRS - 1275072533 Packet Switch Call Measurement / Resource Maintenance Capabilty Measurement - PSCM_RMCM	pmresult_1275072533_[0-9]{2}_*[0-9]{12}.csv	0	6	hour		PSCM_RMCM		1	1	24	hour			
154	BSSGPRS - 1275072527 Packet Switch Call Measurement / Uplink EGPRS RLC Data Transfer Capabilty Measurement - PSCM_UERDTCM	pmresult_1275072527_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		PSCM_UERDTCM		1	1	24	hour			
152	BSSGPRS - 1275072525 Packet Switch Call Measurement / Uplink GPRS RLC Data Transfer Capabilty Measurement - PSCM_UGRDTCM	pmresult_1275072525_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		PSCM_UGRDTCM		1	1	24	hour			
148	BSSGPRS - 1275072521 Packet Switch Call Measurement / Uplink GPRS TBF Establish and Release Capabilty Measurement - PSCM_UGTERCM	pmresult_1275072521_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		PSCM_UGTERCM		1	1	24	hour			
158	BSSGPRS - 1275072531 Packet Switch Call Measurement / Uplink LLC Data Transfer Capabilty Measurement - PSCM_ULDTCM	pmresult_1275072531_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		PSCM_ULDTCM		1	1	24	hour			
150	BSSGPRS - 1275072523 Packet Switch Call Measurement / Uplink EGPRS TBF Establish and Release Capabilty Measurement - PSCM_UTERCM	pmresult_1275072523_[0-9]{2}_*[0-9]{12}.csv	1	6	hour		PSCM_UTERCM		1	1	24	hour			
