sdcetd_id	sdcetd_table
menu.01.0002.01	profile_menu_position
menu.01.0002.02	profile_menu_position
menu.01.0002.03	profile_menu_position
menu.01.0002.04	profile_menu_position
menu.01.0002.05	profile_menu_position
menu.01.0002.06	profile_menu_position
menu.01.0002.07	profile_menu_position
menu.01.0002.08	profile_menu_position
menu.01.0002.09	profile_menu_position
menu.0095.05	profile_menu_position
menu.0095.07	profile_menu_position
