id	id_page	id_elem	class_object	ligne	id_product
seri.gtms.0095.03.00002.09	gtms.0095.03.00002	kpis.0095.03.40048	kpi	9	1
dshd.0095.03.004.gtm.02	dshd.0095.03.004	gtms.0095.03.00004	graph	2	1
seri.gtms.0095.03.00004.01	gtms.0095.03.00004	kpis.0095.03.40025	kpi	1	1
seri.gtms.0095.03.00004.02	gtms.0095.03.00004	kpis.0095.03.40026	kpi	2	1
seri.gtms.0095.03.00004.03	gtms.0095.03.00004	kpis.0095.03.40027	kpi	3	1
seri.gtms.0095.03.00004.04	gtms.0095.03.00004	kpis.0095.03.40028	kpi	4	1
seri.gtms.0095.03.00004.05	gtms.0095.03.00004	kpis.0095.03.40029	kpi	5	1
seri.gtms.0095.03.00004.06	gtms.0095.03.00004	kpis.0095.03.40030	kpi	6	1
seri.gtms.0095.03.00004.07	gtms.0095.03.00004	kpis.0095.03.40031	kpi	7	1
seri.gtms.0095.03.00004.08	gtms.0095.03.00004	kpis.0095.03.40032	kpi	8	1
seri.gtms.0095.03.00004.09	gtms.0095.03.00004	kpis.0095.03.40050	kpi	9	1
dshd.0095.03.004.gtm.03	dshd.0095.03.004	gtms.0095.03.00001	graph	3	1
seri.gtms.0095.03.00001.01	gtms.0095.03.00001	kpis.0095.03.40017	kpi	1	1
seri.gtms.0095.03.00001.02	gtms.0095.03.00001	kpis.0095.03.40018	kpi	2	1
seri.gtms.0095.03.00001.03	gtms.0095.03.00001	kpis.0095.03.40019	kpi	3	1
seri.gtms.0095.03.00001.04	gtms.0095.03.00001	kpis.0095.03.40020	kpi	4	1
seri.gtms.0095.03.00001.05	gtms.0095.03.00001	kpis.0095.03.40021	kpi	5	1
seri.gtms.0095.03.00001.06	gtms.0095.03.00001	kpis.0095.03.40022	kpi	6	1
seri.gtms.0095.03.00001.07	gtms.0095.03.00001	kpis.0095.03.40023	kpi	7	1
seri.gtms.0095.03.00001.08	gtms.0095.03.00001	kpis.0095.03.40024	kpi	8	1
seri.gtms.0095.03.00001.09	gtms.0095.03.00001	kpis.0095.03.40052	kpi	9	1
dshd.0095.03.004.gtm.04	dshd.0095.03.004	gtms.0095.03.00008	graph	4	1
dshd.0095.03.004.gtm.05	dshd.0095.03.004	gtms.0095.03.00007	graph	5	1
seri.gtms.0095.03.00007.01	gtms.0095.03.00007	kpis.0095.03.40043	kpi	1	1
seri.gtms.0095.03.00007.02	gtms.0095.03.00007	kpis.0095.03.40044	kpi	2	1
seri.gtms.0095.03.00007.03	gtms.0095.03.00007	kpis.0095.03.40045	kpi	3	1
seri.gtms.0095.03.00007.04	gtms.0095.03.00007	kpis.0095.03.40046	kpi	4	1
seri.gtms.0095.03.00007.05	gtms.0095.03.00007	kpis.0095.03.40047	kpi	5	1
seri.gtms.0095.03.00007.06	gtms.0095.03.00007	kpis.0095.03.40062	kpi	6	1
dshd.0095.03.002.gtm.02	dshd.0095.03.002	gtms.0095.03.00006	graph	1	1
seri.gtms.0095.03.00006.01	gtms.0095.03.00006	kpis.0095.03.40041	kpi	1	1
seri.gtms.0095.03.00006.02	gtms.0095.03.00006	kpis.0095.03.40042	kpi	2	1
