id	id_page	id_elem	class_object	ligne	id_product
seri.gtms.0075.03.00001.09	gtms.0075.03.00001	kpis.0075.03.17023	kpi	9	1
seri.gtms.0075.03.00001.10	gtms.0075.03.00001	kpis.0075.03.17025	kpi	10	1
seri.gtms.0075.03.00001.11	gtms.0075.03.00001	kpis.0075.03.17027	kpi	11	1
seri.gtms.0075.03.00001.12	gtms.0075.03.00001	kpis.0075.03.17029	kpi	12	1
seri.gtms.0075.03.00001.13	gtms.0075.03.00001	kpis.0075.03.17031	kpi	13	1
seri.gtms.0075.03.00001.14	gtms.0075.03.00001	kpis.0075.03.17034	kpi	14	1
seri.gtms.0075.03.00001.15	gtms.0075.03.00001	kpis.0075.03.17035	kpi	15	1
seri.gtms.0075.03.00001.16	gtms.0075.03.00001	kpis.0075.03.17037	kpi	16	1
seri.gtms.0075.03.00001.17	gtms.0075.03.00001	kpis.0075.03.17039	kpi	17	1
seri.gtms.0075.03.00001.18	gtms.0075.03.00001	kpis.0075.03.17041	kpi	18	1
seri.gtms.0075.03.00001.19	gtms.0075.03.00001	kpis.0075.03.17043	kpi	19	1
seri.gtms.0075.03.00001.20	gtms.0075.03.00001	kpis.0075.03.17045	kpi	20	1
seri.gtms.0075.03.00001.21	gtms.0075.03.00001	kpis.0075.03.17047	kpi	21	1
seri.gtms.0075.03.00001.22	gtms.0075.03.00001	kpis.0075.03.17049	kpi	22	1
seri.gtms.0075.03.00001.23	gtms.0075.03.00001	kpis.0075.03.17051	kpi	23	1
seri.gtms.0075.03.00001.24	gtms.0075.03.00001	kpis.0075.03.17053	kpi	24	1
seri.gtms.0075.03.00001.25	gtms.0075.03.00001	kpis.0075.03.17055	kpi	25	1
seri.gtms.0075.03.00001.26	gtms.0075.03.00001	kpis.0075.03.17057	kpi	26	1
seri.gtms.0075.03.00001.29	gtms.0075.03.00001	kpis.0075.03.17015	kpi	27	1
seri.gtms.0075.03.00001.30	gtms.0075.03.00001	kpis.0075.03.17017	kpi	28	1
seri.gtms.0075.03.00001.31	gtms.0075.03.00001	kpis.0075.03.17019	kpi	29	1
seri.gtms.0075.03.00001.32	gtms.0075.03.00001	kpis.0075.03.17059	kpi	30	1
dshd.0075.02.001.gtm.05	dshd.0075.02.001	gtms.0075.02.00001	graph	1	1
seri.gtms.0075.02.00001.kpis.0075.02.18024	gtms.0075.02.00001	kpis.0075.02.18024	kpi	1	1
seri.gtms.0075.02.00001.kpis.0075.02.18023	gtms.0075.02.00001	kpis.0075.02.18023	kpi	2	1
seri.gtms.0075.02.00001.05	gtms.0075.02.00001	kpis.0075.02.18044	kpi	3	1
seri.gtms.0075.02.00001.06	gtms.0075.02.00001	kpis.0075.02.18045	kpi	4	1
dshd.0075.02.001.gtms.0075.02.llc_volumes	dshd.0075.02.001	gtms.0075.02.llc_volumes	graph	2	1
seri.gtms.0075.02.llc_volumes.kpis.0075.02.18025	gtms.0075.02.llc_volumes	kpis.0075.02.18025	kpi	1	1
seri.gtms.0075.02.llc_volumes.kpis.0075.02.18026	gtms.0075.02.llc_volumes	kpis.0075.02.18026	kpi	2	1
dshd.0075.02.001.gtm.06	dshd.0075.02.001	gtms.0075.02.00002	graph	3	1
seri.gtms.0075.02.00002.01	gtms.0075.02.00002	kpis.0075.02.18043	kpi	1	1
seri.gtms.0075.02.00002.kpis.0075.02.nb_packet_pagings_cs	gtms.0075.02.00002	kpis.0075.02.nb_packet_pagings_cs	kpi	2	1
seri.gtms.0075.02.00002.kpis.0075.02.nb_packet_pagings_ps	gtms.0075.02.00002	kpis.0075.02.nb_packet_pagings_ps	kpi	3	1
dshd.0075.02.002.gtm.01	dshd.0075.02.002	gtms.0075.02.00003	graph	1	1
seri.gtms.0075.02.00003.kpis.0075.02.18125	gtms.0075.02.00003	kpis.0075.02.18125	kpi	1	1
seri.gtms.0075.02.00003.kpis.0075.02.18126	gtms.0075.02.00003	kpis.0075.02.18126	kpi	2	1
seri.gtms.0075.02.00003.kpis.0075.02.18053	gtms.0075.02.00003	kpis.0075.02.18053	kpi	3	1
seri.gtms.0075.02.00003.kpis.0075.02.18054	gtms.0075.02.00003	kpis.0075.02.18054	kpi	4	1
dshd.0075.02.002.gtm.02	dshd.0075.02.002	gtms.0075.02.00004	graph	2	1
seri.gtms.0075.02.00004.01	gtms.0075.02.00004	kpis.0075.02.18008	kpi	1	1
seri.gtms.0075.02.00004.02	gtms.0075.02.00004	kpis.0075.02.18010	kpi	2	1
seri.gtms.0075.02.00004.kpis.0075.02.18053	gtms.0075.02.00004	kpis.0075.02.18053	kpi	3	1
seri.gtms.0075.02.00004.kpis.0075.02.18054	gtms.0075.02.00004	kpis.0075.02.18054	kpi	4	1
dshd.0075.02.003.gtms.0075.02.gprs_throughput	dshd.0075.02.003	gtms.0075.02.gprs_throughput	graph	1	1
