id_data	data_legend	position_ordonnee	display_type	line_design	color	filled_color
seri.gtms.0075.01.00011.20	Handover Attempts Ratio For gencapture (%)	left	cumulatedbar	none	#333333	#009900@0.5
seri.gtms.0075.01.00011.21	Handover Attempts Ratio For TooShortDistance (%)	left	cumulatedbar	none	#333333	#AA00AA@0.5
seri.gtms.0075.01.00011.22	Handover Attempts Ratio For BadQualHR  (%)	left	cumulatedbar	none	#333333	#33FF00@0.5
seri.gtms.0075.01.00011.23	Handover Attempts Ratio For GoodQualFR  (%)	left	cumulatedbar	none	#333333	#FF9900@0.5
seri.gtms.0075.01.00011.24	Handover Attempts Ratio For TFO  (%)	left	cumulatedbar	none	#333333	#FFFF99@0.5
seri.gtms.0075.01.00011.25	Handover Attempts Ratio For Fast Traffic HO  (%)	left	cumulatedbar	none	#333333	#9933FF@0.5
seri.gtms.0075.01.00011.26	Handover Attempts Ratio For Return CS Zone  (%)	left	cumulatedbar	none	#333333	#FF00FF@0.5
seri.gtms.0075.01.00011.27	Handover Attempts Ratio For Low signal strenght  (%)	left	cumulatedbar	none	#333333	#a0a0a0@0.5
seri.gtms.0075.01.00011.28	Handover Attempts Ratio For High signal strenght  (%)	left	cumulatedbar	none	#333333	#c0c0c0@0.5
seri.gtms.0075.01.00011.29	Handover Attempts Ratio For O&M (%)	left	cumulatedbar	none	#333333	#808080@0.5
seri.gtms.0075.01.00011.30	Handover Attempts Ratio For Directed Retry  (%)	left	cumulatedbar	none	#333333	#0000FF@0.5
seri.gtms.0075.01.00011.31	Handover Attempts Ratio For Rapid level drop (%)	left	cumulatedbar	none	#333333	#0099FF@0.5
seri.gtms.0075.01.00011.32	Handover Attempts Ratio For Other Causes (%)	left	cumulatedbar	none	#333333	#009999@0.5
seri.gtms.0075.01.handover.kpis.0075.01.10076	Handover Total Attempts Number (Nb)	right	line	circle	#333333	#ffffff@1
seri.gtms.0075.01.handover.kpis.0075.01.10071	Handover Outgoing Attempts Number (Nb)	right	cumulatedbar	none	#333333	#0099FF@0.5
seri.gtms.0075.01.handover.kpis.0075.01.10074	Handover Incoming Attempts Number (Nb)	right	cumulatedbar	none	#333333	#33FF00@0.5
seri.gtms.0075.01.handover.kpis.0075.01.10078	Handover Success Rate (%)	left	line	circle	#FF0000	#ffffff@1
seri.gtms.0075.01.handover.kpis.0075.01.10072	Handover Outgoing Success Rate (%)	left	line	circle	#0099FF	#ffffff@1
seri.gtms.0075.01.handover.kpis.0075.01.10075	Handover Incoming Success Rate (%)	left	line	circle	#33FF00	#ffffff@1
seri.gtms.0075.01.00012.01	Intra-Cell Handover Attempts Number (Nb)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0075.01.00012.kpis.0075.01.intra_cell_handover_success_rate	Intra-Cell Handover Success Rate (%)	left	line	square	#FF0000	#ffffff@1
