id_data	data_legend	position_ordonnee	display_type	line_design	color	filled_color
seri.gtms.0095.01.handover_causes.kpis.0095.01.rate_ho_o_m	Handover Attempts Ratio For O&M (%)	left	cumulatedbar	none	#333333	#808080@0.5
seri.gtms.0095.01.handover_causes.kpis.0095.01.rate_directed_retry	Handover Attempts Ratio For Directed Retry  (%)	left	cumulatedbar	none	#333333	#0000FF@0.5
seri.gtms.0095.01.handover_causes.kpis.0095.01.rate_ho_rapid_level_drop	Handover Attempts Ratio For Rapid level drop (%)	left	cumulatedbar	none	#333333	#0099FF@0.5
seri.gtms.0095.01.handover_causes.kpis.0095.01.rate_other_ho_causes	Handover Attempts Ratio For Other Causes (%)	left	cumulatedbar	none	#333333	#009999@0.5
seri.gtms.0095.01.handover.kpis.0095.01.nb_total_ho	Handover Total Attempts Number (Nb)	right	line	circle	#333333	#ffffff@1
seri.gtms.0095.01.handover.kpis.0095.01.nb_outgoing_ho	Handover Outgoing Attempts Number (Nb)	right	cumulatedbar	none	#333333	#0099FF@0.5
seri.gtms.0095.01.handover.kpis.0095.01.nb_incoming_ho	Handover Incoming Attempts Number (Nb)	right	cumulatedbar	none	#333333	#33FF00@0.5
seri.gtms.0095.01.handover.kpis.0095.01.ho_success_rate	Handover Success Rate (%)	left	line	circle	#FF0000	#ffffff@1
seri.gtms.0095.01.handover.kpis.0095.01.outgoing_ho_success_rate	Handover Outgoing Success Rate (%)	left	line	circle	#0099FF	#ffffff@1
seri.gtms.0095.01.handover.kpis.0095.01.incoming_ho_success_rate	Handover Incoming Success Rate (%)	left	line	circle	#33FF00	#ffffff@1
seri.gtms.0095.01.intra_cell_handovers.kpis.0095.01.nb_intra_ho	Intra-Cell Handover Attempts Number (Nb)	right	bar	none	#333333	#0099FF@0.5
seri.gtms.0095.01.intra_cell_handovers.kpis.0095.01.intra_cell_handover_success_rate	Intra-Cell Handover Success Rate (%)	left	line	square	#FF0000	#ffffff@1
seri.gtms.0095.01.inter_cell_intra_bsc_handovers.kpis.0095.01.inter_cell_intra_bsc_handovers_attempts_number	Inter-Cell Intra-BSC Handover Attempts Number (Nb)	right	line	circle	#333333	#ffffff@1
seri.gtms.0095.01.inter_cell_intra_bsc_handovers.kpis.0095.01.nb_inter_internal_ho	Inter-Cell Intra-BSC Outgoing Handover Attempts Number (Nb)	right	cumulatedbar	none	#333333	#0099FF@0.5
seri.gtms.0095.01.inter_cell_intra_bsc_handovers.kpis.0095.01.nb_incoming_inter_cell_intra_bsc_handover_attempts	Inter-Cell Intra-BSC Incoming Handover Attempts Number (Nb)	right	cumulatedbar	none	#333333	#33FF00@0.5
seri.gtms.0095.01.inter_cell_intra_bsc_handovers.kpis.0095.01.inter_cell_intra_bsc_handovers_success_rate	Inter-Cell Intra-BSC Handover Success Rate (%)	left	line	circle	#FF0000	#ffffff@1
seri.gtms.0095.01.inter_cell_intra_bsc_handovers.kpis.0095.01.inter_cell_intra_bsc_outgoing_handover_success_rate	Inter-Cell Intra-BSC Outgoing Handover Success Rate (%)	left	line	circle	#0099FF	#ffffff@1
seri.gtms.0095.01.inter_cell_intra_bsc_handovers.kpis.0095.01.inter_cell_intra_bsc_incoming_handover_success_rate	Inter-Cell Intra-BSC Incoming Handover Success Rate (%)	left	line	circle	#33FF00	#ffffff@1
seri.gtms.0095.01.inter_cell_inter_bsc_handovers.kpis.0095.01.inter_cell_inter_bsc_handovers_attempts_number	Inter-Cell Inter-BSC Handover Attempts Number (Nb)	right	line	circle	#333333	#ffffff@1
seri.gtms.0095.01.inter_cell_inter_bsc_handovers.kpis.0095.01.nb_external_ho	Inter-Cell Inter-BSC Outgoing Handover Attempts Number (Nb)	right	cumulatedbar	none	#333333	#0099FF@0.5
seri.gtms.0095.01.inter_cell_inter_bsc_handovers.kpis.0095.01.nb_incoming_inter_cell_inter_bsc_handover_attempts	Inter-Cell Inter-BSC Incoming Handover Attempts Number (Nb)	right	cumulatedbar	none	#333333	#33FF00@0.5
seri.gtms.0095.01.inter_cell_inter_bsc_handovers.kpis.0095.01.inter_cell_inter_bsc_handovers_success_rate	Inter-Cell Inter-BSC Handover Success Rate (%)	left	line	circle	#FF0000	#ffffff@1
seri.gtms.0095.01.inter_cell_inter_bsc_handovers.kpis.0095.01.inter_cell_inter_bsc_outgoing_handover_success_rate	Inter-Cell Inter-BSC Outgoing Handover Success Rate (%)	left	line	circle	#0099FF	#ffffff@1
