RNCs;Cells Label;Cells
BHERNC4;UKT01I;BHERNC4_UKT01I
BHERNC4;UKT01H;BHERNC4_UKT01H
BHERNC4;UKT01G;BHERNC4_UKT01G
BHERNC4;UKT01C;BHERNC4_UKT01C
BHERNC4;UKT01B;BHERNC4_UKT01B
BHERNC4;UKT01A;BHERNC4_UKT01A
BHERNC4;UKT04I;BHERNC4_UKT04I
BHERNC4;UKT04H;BHERNC4_UKT04H
BHERNC4;UKT04G;BHERNC4_UKT04G
BHERNC4;UKT04C;BHERNC4_UKT04C
BHERNC4;UKT04B;BHERNC4_UKT04B
BHERNC4;UKT04A;BHERNC4_UKT04A
BHERNC4;UAU05A;BHERNC4_UAU05A
BHERNC4;UCV01L;BHERNC4_UCV01L
BHERNC4;UCV01K;BHERNC4_UCV01K
BHERNC4;UCV01J;BHERNC4_UCV01J
BHERNC4;UCV01I;BHERNC4_UCV01I
BHERNC4;UCV01H;BHERNC4_UCV01H
BHERNC4;UCV01G;BHERNC4_UCV01G
BHERNC4;UCV01C;BHERNC4_UCV01C
BHERNC4;UCV01B;BHERNC4_UCV01B
BHERNC4;UCV01A;BHERNC4_UCV01A
BHERNC4;UCV02I;BHERNC4_UCV02I
BHERNC4;UCV02H;BHERNC4_UCV02H
BHERNC4;UCV02G;BHERNC4_UCV02G
BHERNC4;BH04K2;BHERNC4_BH04K2
BHERNC4;BH04K1;BHERNC4_BH04K1
BHERNC4;BH04J2;BHERNC4_BH04J2
BHERNC4;UKT02C;BHERNC4_UKT02C
BHERNC4;UKT02B;BHERNC4_UKT02B
BHERNC4;UKT02A;BHERNC4_UKT02A
BHERNC4;UZD01I;BHERNC4_UZD01I
BHERNC4;UZD01H;BHERNC4_UZD01H
BHERNC4;UZD01G;BHERNC4_UZD01G
BHERNC4;UZD01C;BHERNC4_UZD01C
BHERNC4;UZD01B;BHERNC4_UZD01B
BHERNC4;UZD01A;BHERNC4_UZD01A
BHERNC4;BH04J1;BHERNC4_BH04J1
BHERNC4;BH04I2;BHERNC4_BH04I2
BHERNC4;BH04I1;BHERNC4_BH04I1
BHERNC4;BH04H2;BHERNC4_BH04H2
BHERNC4;BH04H1;BHERNC4_BH04H1
BHERNC4;BH04G2;BHERNC4_BH04G2
BHERNC4;BH04G1;BHERNC4_BH04G1
BHERNC4;UBH04P;BHERNC4_UBH04P
BHERNC4;UBH04N;BHERNC4_UBH04N
BHERNC4;UBH04M;BHERNC4_UBH04M
BHERNC4;UTF01I;BHERNC4_UTF01I
BHERNC4;UTF01H;BHERNC4_UTF01H
BHERNC4;UTF01G;BHERNC4_UTF01G
BHERNC4;UTF01C;BHERNC4_UTF01C
BHERNC4;UTF01B;BHERNC4_UTF01B
BHERNC4;UTF01A;BHERNC4_UTF01A
BHERNC4;UTF02G;BHERNC4_UTF02G
BHERNC4;UHB01L;BHERNC4_UHB01L
BHERNC4;UHB01K;BHERNC4_UHB01K
BHERNC4;UHB01J;BHERNC4_UHB01J
BHERNC4;UHB01I;BHERNC4_UHB01I
BHERNC4;UHB01H;BHERNC4_UHB01H
BHERNC4;UHB01G;BHERNC4_UHB01G
BHERNC4;UHB01C;BHERNC4_UHB01C
BHERNC4;UHB01B;BHERNC4_UHB01B
BHERNC4;UHB01A;BHERNC4_UHB01A
BHERNC4;UPB01P;BHERNC4_UPB01P
BHERNC4;UPB01N;BHERNC4_UPB01N
BHERNC4;UPB01M;BHERNC4_UPB01M
BHERNC4;UPB01L;BHERNC4_UPB01L
BHERNC4;UPB01K;BHERNC4_UPB01K
BHERNC4;UPB01J;BHERNC4_UPB01J
BHERNC4;UPB01I;BHERNC4_UPB01I
BHERNC4;UPB01H;BHERNC4_UPB01H
BHERNC4;UPB01G;BHERNC4_UPB01G
BHERNC4;UPB01C;BHERNC4_UPB01C
BHERNC4;UPB01B;BHERNC4_UPB01B
BHERNC4;UPB01A;BHERNC4_UPB01A
BHERNC4;UPB02I;BHERNC4_UPB02I
BHERNC4;UPB02H;BHERNC4_UPB02H
BHERNC4;UPB02G;BHERNC4_UPB02G
BHERNC4;UPB02C;BHERNC4_UPB02C
BHERNC4;UPB02B;BHERNC4_UPB02B
BHERNC4;UPB02A;BHERNC4_UPB02A
BHERNC4;UAU03I;BHERNC4_UAU03I
BHERNC4;UAU03H;BHERNC4_UAU03H
BHERNC4;UAU03G;BHERNC4_UAU03G
BHERNC4;UAU03C;BHERNC4_UAU03C
BHERNC4;UAU03B;BHERNC4_UAU03B
BHERNC4;UAU03A;BHERNC4_UAU03A
BHERNC4;UPB03L;BHERNC4_UPB03L
BHERNC4;UPB03K;BHERNC4_UPB03K
BHERNC4;UPB03J;BHERNC4_UPB03J
BHERNC4;UPB03I;BHERNC4_UPB03I
BHERNC4;UPB03H;BHERNC4_UPB03H
BHERNC4;UPB03G;BHERNC4_UPB03G
BHERNC4;UPB03C;BHERNC4_UPB03C
BHERNC4;UPB03B;BHERNC4_UPB03B
BHERNC4;UPB03A;BHERNC4_UPB03A
BHERNC4;UAU04G;BHERNC4_UAU04G
BHERNC4;USH01G;BHERNC4_USH01G
BHERNC4;UIP01L;BHERNC4_UIP01L
BHERNC4;UIP01K;BHERNC4_UIP01K
BHERNC4;UIP01J;BHERNC4_UIP01J
BHERNC4;UIP01I;BHERNC4_UIP01I
BHERNC4;UIP01H;BHERNC4_UIP01H
BHERNC4;UIP01G;BHERNC4_UIP01G
BHERNC4;UIP01C;BHERNC4_UIP01C
BHERNC4;UIP01B;BHERNC4_UIP01B
BHERNC4;UIP01A;BHERNC4_UIP01A
BHERNC4;UBH04C;BHERNC4_UBH04C
BHERNC4;UBH04B;BHERNC4_UBH04B
BHERNC4;UBH04A;BHERNC4_UBH04A
BHERNC4;BH03M2;BHERNC4_BH03M2
BHERNC4;BH03M1;BHERNC4_BH03M1
BHERNC4;BH03J2;BHERNC4_BH03J2
BHERNC4;BH03J1;BHERNC4_BH03J1
BHERNC4;BH03G2;BHERNC4_BH03G2
BHERNC4;BH03G1;BHERNC4_BH03G1
BHERNC4;UBH03P;BHERNC4_UBH03P
BHERNC4;UBH03N;BHERNC4_UBH03N
BHERNC4;UBH03L;BHERNC4_UBH03L
BHERNC4;UBH03K;BHERNC4_UBH03K
BHERNC4;UBH03I;BHERNC4_UBH03I
BHERNC4;UBH03H;BHERNC4_UBH03H
BHERNC4;UBH03C;BHERNC4_UBH03C
BHERNC4;UTC05G;BHERNC4_UTC05G
BHERNC4;UKM05P;BHERNC4_UKM05P
BHERNC4;UKM05N;BHERNC4_UKM05N
BHERNC4;UBH03B;BHERNC4_UBH03B
BHERNC4;UBH03A;BHERNC4_UBH03A
BHERNC4;UBH02P;BHERNC4_UBH02P
BHERNC4;UBH02N;BHERNC4_UBH02N
BHERNC4;UBH02M;BHERNC4_UBH02M
BHERNC4;UBH02L;BHERNC4_UBH02L
BHERNC4;UBH02K;BHERNC4_UBH02K
BHERNC4;UBH02J;BHERNC4_UBH02J
BHERNC4;UBH02I;BHERNC4_UBH02I
BHERNC4;UBH02H;BHERNC4_UBH02H
BHERNC4;UBH02G;BHERNC4_UBH02G
BHERNC4;UBH02C;BHERNC4_UBH02C
BHERNC4;UBH02B;BHERNC4_UBH02B
BHERNC4;UBH02A;BHERNC4_UBH02A
BHERNC4;BH01M2;BHERNC4_BH01M2
BHERNC4;BH01M1;BHERNC4_BH01M1
BHERNC4;BH01J2;BHERNC4_BH01J2
BHERNC4;BH01J1;BHERNC4_BH01J1
BHERNC4;BH01G2;BHERNC4_BH01G2
BHERNC4;BH01G1;BHERNC4_BH01G1
BHERNC4;UBH01P;BHERNC4_UBH01P
